"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL590799";"CAMOSTAT";"CAMOSTAT";"Small molecule";"3";"398.42";"28";"62";"1.39";"134.81";"6";"3";"0";"7";"N";"0.28";"None";"8.54";"1.51";"0.36";"2";"MOL";"0";"29";"9";"4";"0";"398.1590";"BASE";"C20H22N4O5";"CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1";"XASIMHXSUQUHLV-UHFFFAOYSA-N"
"CHEMBL1200675";"TOREMIFENE CITRATE";"FC-1157A|Fareston|NSC-613680|TOREMIFENE CITRATE";"Small molecule";"4";"598.09";"80";"115";"6.22";"12.47";"2";"0";"1";"9";"N";"0.31";"None";"8.76";"6.27";"4.89";"3";"MOL";"0";"29";"2";"0";"1";"405.1859";"BASE";"C32H36ClNO8";"CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1.O=C(O)CC(O)(CC(=O)O)C(=O)O";"IWEQQRMGNVVKQW-OQKDUQJOSA-N"
"CHEMBL258405";"ICILLIN";"ICILLIN|Icilin";"Small molecule";"3";"311.30";"30";"57";"2.87";"95.71";"4";"2";"0";"3";"N";"0.67";"8.63";"None";"2.17";"2.15";"2";"MOL";"0";"23";"7";"2";"0";"311.0906";"NEUTRAL";"C16H13N3O4";"O=C1NC(c2cccc([N+](=O)[O-])c2)=CCN1c1ccccc1O";"RCEFMOGVOYEGJN-UHFFFAOYSA-N"
"CHEMBL3989873";"PICLIDENOSON";"ALB-7208|CF-101|CF101|IB-MECA|PICLIDENOSON";"Small molecule";"3";"510.29";"";"";"0.41";"134.42";"9";"4";"1";"5";"N";"0.36";"12.39";"4.69";"0.60";"0.60";"3";"MOL";"0";"29";"10";"4";"1";"510.0513";"NEUTRAL";"C18H19IN6O4";"CNC(=O)[C@H]1O[C@@H](n2cnc3c(NCc4ccc(I)cc4)ncnc32)[C@H](O)[C@@H]1O";"JTZRECOPNKCRTE-MOROJQBDSA-N"
"CHEMBL1200436";"OXANDROLONE";"ANAVAR|LONAVAR|NSC-67068|OXANDROLONE|OXANDROLONE CIII|Oxandrin|PROVITAR|SC 11585|SC-11585|VASOROME";"Small molecule";"4";"306.45";"8";"48";"3.54";"46.53";"3";"1";"0";"0";"N";"0.70";"None";"None";"2.95";"2.95";"0";"MOL";"0";"22";"3";"1";"0";"306.2195";"NEUTRAL";"C19H30O3";"C[C@]12COC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O";"QSLJIVKCVHQPLV-PEMPUTJUSA-N"
"CHEMBL506871";"VELIPARIB";"ABT-888|PARP-1 INHIBITOR ABT-888|VELIPARIB";"Small molecule";"3";"244.30";"614";"724";"1.26";"83.80";"3";"3";"0";"2";"N";"0.74";"9.73";"9.25";"0.21";"-1.17";"2";"MOL";"0";"18";"5";"4";"0";"244.1324";"BASE";"C13H16N4O";"C[C@]1(c2nc3cccc(C(N)=O)c3[nH]2)CCCN1";"JNAHVYVRKWKWKQ-CYBMUJFWSA-N"
"CHEMBL1096882";"FLUDARABINE PHOSPHATE";"2-F-ARA-AMP|2-F-ARAA|2-FLUORO ARA-A|2-FLUOROVIDARABINE|FLUDARABINE|FLUDARABINE 5'-MONOPHOSPHATE|FLUDARABINE MONOPHOSPHATE|FLUDARABINE PHOSPHATE|FLURADOSA|Fludara|NSC-118218|NSC-118218H|NSC-312887|NSC-328002|OFORTA";"Small molecule";"4";"365.21";"21";"38";"-1.72";"186.07";"10";"5";"0";"4";"N";"0.31";"1.22";"0.59";"-1.97";"-5.12";"2";"MOL";"0";"24";"12";"6";"2";"365.0537";"ACID";"C10H13FN5O7P";"Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O";"GIUYCYHIANZCFB-FJFJXFQQSA-N"
"CHEMBL256997";"ATALUREN";"ATALUREN|PTC-124|PTC124|TRANSLARNA";"Small molecule";"4";"284.25";"26";"104";"3.24";"76.22";"4";"1";"0";"3";"N";"0.80";"3.90";"None";"3.92";"0.68";"3";"MOL";"0";"21";"5";"1";"0";"284.0597";"ACID";"C15H9FN2O3";"O=C(O)c1cccc(-c2noc(-c3ccccc3F)n2)c1";"OOUGLTULBSNHNF-UHFFFAOYSA-N"
"CHEMBL2023898";"DACLATASVIR";"BMS 790052|BMS-790052|DACLATASVIR|DAKLINZA|EBP 883|EBP-883";"Small molecule";"4";"738.89";"33";"249";"6.22";"174.64";"8";"4";"2";"11";"N";"0.14";"11.15";"6.09";"4.18";"4.16";"4";"MOL";"0";"54";"14";"4";"3";"738.3853";"NEUTRAL";"C40H50N8O6";"COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc(-c3ccc(-c4cnc([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]4)cc3)cc2)[nH]1)C(C)C";"FKRSSPOQAMALKA-CUPIEXAXSA-N"
"CHEMBL1029";"MIGLUSTAT";"BUTYLDEOXYNOJIRIMYCIN|MIGLUSTAT|N-BUTYLDEOXYNOJIRIMYCIN|OGT 918|OGT-918|Zavesca";"Small molecule";"4";"219.28";"54";"216";"-1.45";"84.16";"5";"4";"0";"4";"N";"0.46";"12.90";"8.49";"-1.18";"-2.30";"0";"MOL";"0";"15";"5";"4";"0";"219.1471";"NEUTRAL";"C10H21NO4";"CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO";"UQRORFVVSGFNRO-UTINFBMNSA-N"
"CHEMBL2375161";"SUROTOMYCIN";"CB-183, 315|CB-183,315|CB-183315|SUROTOMYCIN";"Protein";"3";"1680.75";"";"";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"0";"None";"None";"None";"None";"1679.7104";"None";"C77H101N17O26";"CCCCCc1ccc(/C(C)=C/C(=O)N[C@H](Cc2c[nH]c3ccccc23)C(=O)N[C@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]2C(=O)NCC(=O)N[C@@H](CCCN)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H](CO)C(=O)N[C@@H]([C@H](C)CC(=O)O)C(=O)N[C@@H](CC(=O)c3ccccc3N)C(=O)O[C@@H]2C)cc1";"DYNMYYRPPFVAKR-ZXTAUSOFSA-N"
"CHEMBL2304327";"COLISTIMETHATE";"COLISTIMETHATE|COLISTIN METHANESULFONIC ACID|COLISTIN SULFOMETHATE|COLISTINMETHANESULFONIC ACID";"Unknown";"3";"1720.05";"2";"6";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"0";"None";"None";"None";"None";"1718.6211";"None";"C59H114N16O30S6";"CCC(C)CCCCC(=O)N(CS(=O)(=O)O)[C@@H](CCNCS(=O)(=O)O)C(=O)N[C@@H](CN[C@@H](CCNCS(=O)(=O)O)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@@H](CCNCS(=O)(=O)O)NC(=O)[C@H](CCNCS(=O)(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CCNCS(=O)(=O)O)NC1=O)[C@@H](C)O";"RRDRHWJDBOGQHN-JWCTVYNTSA-N"
